departamento;total de votos;votos en blanco;partido conservador ;partido liberal ;centro democratico;partido verde;partido de la u 
Amazonas;18835;587;0;5325;1432;911;496
Antioquia;1344556;98075;225265;232232;350996;38351;170216
Arauca;61719;3582;0;18375;79;0;25106
Atlántico;764417;28260;248921;88229;26366;12741;170417
Bogotá;1469225;202574;63014;191395;317898;164403;160103
Bolívar;516587;14708;87118;92554;43007;9345;129492
Boyacá;34809;37364;53654;60795;37049;37586;75717
Caldas;297081;21150;61138;54986;51806;5082;75917
Caquetá;83346;5473;16519;21542;0;2894;12590
Casanare;97652;9146;0;26455;698;0;14134
Cauca;289403;20163;35702;78896;421;63500;41958
Cesar;267532;9451;49873;34198;20287;0;57721
Chocó;101703;2664;25563;29048;0;0;27957
Córdoba;580962;10196;146946;89977;21444;15456;112298
Cundinamarca;599854;58540;98318;79654;74196;3994;294206
Guainía;10589;218;0;81;0;1832;936
Guaviare;24475;508;5592;5720;0;0;6097
Huila;354880;20486;57420;0;46097;0;63471
La Guajira;231028;3719;0;31904;0;0;63813
Magdalena;467198;8634;45936;93377;9165;13493;47574
Meta;319928;19614;10387;86195;46317;0;71343
Nariño;487918;32346;137090;92619;342;0;91707
Norte de Satander;529356;19669;130685;11285;50502;9148;69850
Putumayo;82747;5424;32491;17156;118;1237;10893
Quindio;188028;14131;4838;41451;19612;2992;26251
Risaralda;264680;23293;54910;37822;30723;4091;51171
Archipiélago de San Andrés, Providencia y Santa Catalina;15203;1105;0;4722;0;0;1742
Santander;615337;53534;54056;129310;66805;11748;30558
Sucre;339536;7620;5733;12528;16125;104200;3027
Tolima;383628;22597;84415;72690;41951;80290;14355
Valle;964420;71472;144443;168759;82264;59294;195742
Vaupés;9623;102;0;2538;0;0;588
Vichada;18235;331;59;5540;0;986;6902
