Departamento;Codigo;IPM_mb2018;Std_m2018;IPM_mb2020;Std_m2020
ANTIOQUIA;5;0.20;0.13;0.20;0.13
ATLÁNTICO;8;0.20;0.13;0.20;0.13
BOGOTA;11;0.15;0.12;0.19;0.11
BOLIVAR;13;0.25;0.14;0.24;0.13
BOYACA;15;0.20;0.12;0.20;0.12
CALDAS;17;0.20;0.12;0.20;0.13
CAQUETA;18;0.25;0.12;0.25;0.12
CAUCA;19;0.24;0.13;0.24;0.13
CESAR;20;0.25;0.14;0.24;0.13
CÓRDOBA;23;0.25;0.14;0.25;0.13
CUNDINAMARCA;25;0.20;0.11;0.20;0.11
CHOCO;27;0.29;0.13;0.30;0.13
HUILA;41;0.20;0.12;0.20;0.12
LA GUAJIRA;44;0.32;0.16;0.30;0.16
MAGDALENA;47;0.29;0.14;0.25;0.13
META;50;0.20;0.12;0.20;0.13
NARINO;52;0.25;0.13;0.24;0.13
NORTE DE SANTANDER;54;0.25;0.13;0.24;0.12
QUINDIO;63;0.20;0.12;0.20;0.12
RISARALDA;66;0.20;0.12;0.20;0.12
SANTANDER;68;0.20;0.12;0.20;0.12
SUCRE;70;0.29;0.14;0.29;0.13
TOLIMA;73;0.24;0.13;0.20;0.12
VALLE DEL CAUCA;76;0.20;0.12;0.20;0.12
ARAUCA;81;0.24;0.12;0.24;0.12
CASANARE;85;0.20;0.12;0.20;0.12
PUTUMAYO;86;0.24;0.11;0.24;0.12
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;88;0.14;0.11;0.18;0.11
AMAZONAS;91;0.13;0.24;0.24;0.12
GUAINIA;94;0.34;0.16;0.36;0.17
GUAVIARE;95;0.24;0.13;0.25;0.13
VAUPES;97;0.30;0.18;0.29;0.17
VICHADA;99;0.29;0.14;0.34;0.16
